iter	Passed	Remaining
0	180	180237
1	197	98539
2	213	70899
3	228	57011
4	233	46473
5	249	41389
6	265	37612
7	280	34787
8	295	32590
9	313	31074
10	330	29713
11	349	28754
12	365	27744
13	382	26943
14	399	26221
15	415	25578
16	432	25024
17	449	24527
18	466	24093
19	482	23663
20	498	23243
21	515	22919
22	525	22343
23	543	22082
24	561	21886
25	577	21628
26	592	21360
27	608	21115
28	624	20915
29	639	20689
30	655	20484
31	671	20311
32	687	20135
33	702	19972
34	719	19833
35	734	19672
36	750	19527
37	766	19411
38	781	19266
39	797	19128
40	812	19009
41	827	18882
42	843	18778
43	859	18681
44	876	18599
45	893	18523
46	908	18430
47	924	18336
48	940	18251
49	956	18179
50	973	18121
51	990	18058
52	1006	17986
53	1022	17919
54	1039	17856
55	1054	17780
56	1070	17714
57	1087	17660
58	1103	17602
59	1119	17541
60	1134	17467
61	1150	17409
62	1166	17346
63	1182	17295
64	1198	17235
65	1213	17167
66	1228	17110
67	1244	17053
68	1259	16998
69	1274	16935
70	1290	16881
71	1305	16828
72	1321	16782
73	1337	16732
74	1352	16686
75	1368	16639
76	1384	16593
77	1399	16545
78	1414	16495
79	1430	16454
80	1446	16413
81	1462	16373
82	1478	16331
83	1493	16290
84	1509	16248
85	1525	16208
86	1540	16170
87	1556	16130
88	1571	16088
89	1587	16050
90	1603	16017
91	1619	15981
92	1634	15938
93	1649	15898
94	1664	15854
95	1679	15815
96	1694	15777
97	1710	15742
98	1725	15701
99	1740	15666
100	1756	15638
101	1773	15609
102	1788	15577
103	1803	15536
104	1818	15499
105	1833	15461
106	1848	15429
107	1864	15396
108	1880	15370
109	1896	15343
110	1911	15309
111	1927	15283
112	1943	15251
113	1959	15226
114	1974	15194
115	1989	15163
116	2004	15131
117	2021	15106
118	2037	15082
119	2053	15057
120	2068	15025
121	2083	14994
122	2099	14968
123	2115	14942
124	2131	14918
125	2147	14895
126	2163	14869
127	2179	14845
128	2195	14824
129	2212	14805
130	2227	14774
131	2242	14746
132	2258	14721
133	2273	14694
134	2288	14666
135	2305	14648
136	2321	14625
137	2336	14596
138	2352	14569
139	2367	14545
140	2383	14518
141	2398	14493
142	2414	14471
143	2431	14453
144	2447	14432
145	2462	14406
146	2478	14380
147	2493	14353
148	2508	14327
149	2523	14299
150	2538	14272
151	2553	14244
152	2568	14221
153	2584	14199
154	2600	14175
155	2616	14153
156	2631	14130
157	2648	14111
158	2664	14090
159	2679	14067
160	2694	14042
161	2709	14016
162	2725	13994
163	2740	13970
164	2756	13949
165	2771	13922
166	2787	13905
167	2803	13881
168	2818	13859
169	2834	13838
170	2850	13819
171	2872	13827
172	2891	13823
173	2906	13798
174	2921	13773
175	2936	13749
176	2951	13724
177	2967	13702
178	2982	13677
179	2997	13655
180	3012	13632
181	3028	13610
182	3043	13589
183	3060	13571
184	3075	13549
185	3091	13527
186	3106	13505
187	3121	13482
188	3137	13462
189	3153	13442
190	3168	13422
191	3184	13400
192	3199	13379
193	3215	13357
194	3230	13338
195	3246	13316
196	3261	13295
197	3277	13275
198	3292	13254
199	3309	13236
200	3324	13216
201	3340	13197
202	3356	13177
203	3371	13155
204	3386	13133
205	3402	13115
206	3419	13098
207	3435	13081
208	3451	13063
209	3466	13040
210	3482	13021
211	3497	13000
212	3512	12979
213	3528	12958
214	3544	12941
215	3560	12923
216	3575	12903
217	3592	12887
218	3608	12869
219	3626	12858
220	3642	12839
221	3658	12821
222	3674	12804
223	3691	12787
224	3707	12770
225	3723	12751
226	3739	12734
227	3754	12713
228	3770	12693
229	3785	12674
230	3801	12654
231	3816	12634
232	3832	12617
233	3849	12600
234	3865	12583
235	3881	12564
236	3897	12547
237	3913	12528
238	3928	12507
239	3943	12487
240	3959	12469
241	3975	12451
242	3990	12432
243	4006	12412
244	4022	12394
245	4037	12375
246	4052	12355
247	4068	12336
248	4083	12317
249	4098	12296
250	4115	12280
251	4130	12260
252	4145	12239
253	4160	12219
254	4175	12198
255	4190	12177
256	4205	12158
257	4220	12137
258	4236	12119
259	4251	12099
260	4267	12084
261	4284	12068
262	4299	12048
263	4315	12031
264	4331	12013
265	4346	11994
266	4361	11973
267	4377	11955
268	4394	11941
269	4410	11923
270	4426	11906
271	4441	11887
272	4457	11869
273	4473	11853
274	4489	11836
275	4505	11818
276	4521	11800
277	4536	11782
278	4553	11767
279	4569	11749
280	4585	11732
281	4600	11713
282	4616	11695
283	4632	11679
284	4648	11662
285	4665	11647
286	4682	11631
287	4697	11613
288	4714	11599
289	4730	11581
290	4746	11563
291	4764	11552
292	4781	11538
293	4799	11524
294	4814	11506
295	4832	11493
296	4850	11480
297	4866	11463
298	4881	11445
299	4898	11429
300	4913	11411
301	4930	11395
302	4945	11377
303	4962	11360
304	4977	11341
305	4993	11325
306	5009	11308
307	5026	11292
308	5041	11275
309	5057	11257
310	5073	11239
311	5089	11222
312	5105	11206
313	5120	11187
314	5136	11169
315	5151	11151
316	5167	11133
317	5182	11115
318	5198	11098
319	5214	11081
320	5230	11063
321	5246	11046
322	5262	11029
323	5277	11011
324	5293	10995
325	5309	10976
326	5325	10960
327	5341	10943
328	5357	10926
329	5374	10911
330	5389	10893
331	5405	10876
332	5421	10858
333	5437	10843
334	5454	10828
335	5471	10812
336	5488	10798
337	5506	10785
338	5524	10772
339	5542	10759
340	5559	10744
341	5576	10729
342	5593	10714
343	5611	10701
344	5628	10685
345	5645	10671
346	5663	10656
347	5679	10641
348	5696	10625
349	5714	10612
350	5732	10600
351	5748	10582
352	5765	10566
353	5780	10549
354	5799	10537
355	5821	10531
356	5841	10520
357	5858	10505
358	5874	10488
359	5890	10472
360	5906	10455
361	5924	10441
362	5942	10428
363	5959	10413
364	5976	10398
365	5993	10382
366	6011	10367
367	6027	10351
368	6045	10337
369	6061	10321
370	6078	10304
371	6094	10288
372	6109	10270
373	6125	10253
374	6142	10237
375	6158	10220
376	6173	10202
377	6189	10184
378	6204	10166
379	6220	10149
380	6236	10132
381	6252	10115
382	6268	10097
383	6284	10081
384	6301	10066
385	6319	10051
386	6335	10035
387	6352	10019
388	6369	10004
389	6385	9986
390	6400	9969
391	6416	9952
392	6432	9934
393	6448	9917
394	6464	9901
395	6480	9883
396	6495	9866
397	6512	9849
398	6528	9834
399	6544	9816
400	6560	9799
401	6575	9781
402	6591	9765
403	6607	9748
404	6624	9731
405	6640	9715
406	6656	9699
407	6673	9682
408	6688	9665
409	6704	9648
410	6720	9630
411	6736	9614
412	6753	9598
413	6769	9581
414	6785	9564
415	6801	9548
416	6818	9532
417	6834	9516
418	6851	9499
419	6869	9486
420	6884	9468
421	6900	9450
422	6915	9433
423	6931	9416
424	6948	9400
425	6964	9383
426	6980	9367
427	6996	9350
428	7012	9333
429	7028	9317
430	7044	9300
431	7060	9283
432	7077	9267
433	7094	9251
434	7111	9236
435	7127	9219
436	7143	9202
437	7158	9185
438	7174	9168
439	7190	9152
440	7207	9136
441	7223	9118
442	7239	9102
443	7254	9085
444	7270	9067
445	7286	9051
446	7302	9034
447	7318	9017
448	7334	9000
449	7351	8985
450	7367	8968
451	7383	8952
452	7398	8934
453	7415	8917
454	7431	8901
455	7447	8884
456	7462	8867
457	7479	8850
458	7495	8834
459	7511	8817
460	7527	8800
461	7543	8783
462	7559	8767
463	7574	8749
464	7590	8732
465	7606	8716
466	7623	8700
467	7638	8683
468	7655	8667
469	7672	8651
470	7688	8635
471	7704	8618
472	7720	8602
473	7737	8586
474	7753	8569
475	7769	8552
476	7785	8536
477	7801	8519
478	7817	8502
479	7833	8485
480	7849	8469
481	7865	8453
482	7882	8437
483	7898	8421
484	7915	8405
485	7931	8388
486	7947	8372
487	7963	8355
488	7979	8338
489	7994	8321
490	8010	8304
491	8026	8287
492	8042	8270
493	8058	8253
494	8073	8236
495	8091	8222
496	8107	8205
497	8123	8188
498	8138	8171
499	8154	8154
500	8170	8137
501	8186	8121
502	8202	8104
503	8217	8087
504	8232	8069
505	8248	8052
506	8263	8035
507	8279	8018
508	8294	8001
509	8310	7984
510	8326	7968
511	8342	7951
512	8358	7935
513	8374	7918
514	8391	7902
515	8407	7885
516	8423	7869
517	8439	7852
518	8455	7836
519	8472	7820
520	8487	7803
521	8503	7787
522	8519	7770
523	8535	7753
524	8551	7736
525	8566	7720
526	8582	7702
527	8599	7687
528	8616	7671
529	8633	7656
530	8649	7639
531	8666	7623
532	8682	7607
533	8701	7593
534	8719	7578
535	8735	7562
536	8755	7549
537	8773	7533
538	8789	7517
539	8806	7501
540	8822	7485
541	8839	7469
542	8857	7454
543	8875	7439
544	8893	7424
545	8909	7408
546	8925	7391
547	8941	7374
548	8957	7358
549	8973	7342
550	8989	7325
551	9005	7308
552	9021	7292
553	9038	7276
554	9055	7260
555	9071	7244
556	9087	7227
557	9103	7211
558	9119	7194
559	9135	7177
560	9151	7161
561	9166	7144
562	9190	7134
563	9209	7119
564	9225	7102
565	9241	7085
566	9256	7069
567	9272	7052
568	9289	7036
569	9303	7018
570	9320	7002
571	9336	6985
572	9351	6969
573	9368	6953
574	9384	6936
575	9400	6920
576	9417	6904
577	9435	6888
578	9452	6873
579	9468	6856
580	9486	6841
581	9502	6824
582	9518	6808
583	9535	6792
584	9551	6776
585	9567	6759
586	9583	6742
587	9598	6725
588	9614	6708
589	9629	6691
590	9646	6675
591	9662	6659
592	9677	6642
593	9693	6625
594	9709	6608
595	9725	6592
596	9742	6576
597	9759	6560
598	9776	6544
599	9792	6528
600	9808	6511
601	9824	6495
602	9841	6479
603	9857	6462
604	9873	6446
605	9889	6429
606	9905	6413
607	9920	6396
608	9936	6379
609	9951	6362
610	9968	6346
611	9984	6329
612	10001	6314
613	10016	6297
614	10032	6280
615	10048	6263
616	10064	6247
617	10080	6230
618	10096	6214
619	10112	6198
620	10128	6181
621	10143	6164
622	10161	6148
623	10177	6132
624	10193	6116
625	10210	6100
626	10226	6083
627	10243	6067
628	10259	6051
629	10276	6035
630	10293	6019
631	10309	6003
632	10325	5986
633	10340	5969
634	10356	5953
635	10372	5936
636	10387	5919
637	10403	5903
638	10419	5886
639	10434	5869
640	10450	5853
641	10466	5836
642	10481	5819
643	10497	5802
644	10512	5785
645	10528	5769
646	10544	5752
647	10560	5736
648	10576	5720
649	10591	5702
650	10606	5686
651	10622	5669
652	10638	5653
653	10654	5636
654	10670	5620
655	10687	5604
656	10703	5587
657	10719	5571
658	10735	5555
659	10752	5539
660	10769	5523
661	10785	5506
662	10801	5490
663	10817	5473
664	10832	5456
665	10848	5440
666	10864	5424
667	10880	5407
668	10895	5390
669	10911	5374
670	10927	5357
671	10943	5341
672	10958	5324
673	10975	5308
674	10991	5291
675	11006	5275
676	11022	5259
677	11038	5242
678	11054	5225
679	11070	5209
680	11086	5193
681	11103	5177
682	11119	5160
683	11135	5144
684	11151	5127
685	11167	5111
686	11182	5094
687	11198	5078
688	11214	5062
689	11231	5045
690	11247	5029
691	11264	5013
692	11281	4997
693	11298	4981
694	11314	4965
695	11330	4949
696	11347	4933
697	11365	4917
698	11381	4900
699	11396	4884
700	11412	4867
701	11428	4851
702	11443	4834
703	11459	4818
704	11475	4801
705	11491	4785
706	11507	4768
707	11522	4752
708	11538	4735
709	11553	4719
710	11569	4702
711	11585	4686
712	11601	4669
713	11617	4653
714	11632	4636
715	11647	4620
716	11663	4603
717	11679	4587
718	11696	4571
719	11712	4554
720	11728	4538
721	11745	4522
722	11760	4505
723	11776	4489
724	11791	4472
725	11807	4456
726	11822	4439
727	11837	4422
728	11853	4406
729	11868	4389
730	11885	4373
731	11901	4357
732	11917	4341
733	11934	4325
734	11951	4309
735	11967	4292
736	11983	4276
737	12000	4260
738	12017	4244
739	12033	4228
740	12049	4211
741	12064	4194
742	12080	4178
743	12095	4162
744	12111	4145
745	12127	4129
746	12144	4113
747	12160	4096
748	12176	4080
749	12191	4063
750	12208	4047
751	12226	4032
752	12242	4015
753	12258	3999
754	12275	3983
755	12292	3967
756	12309	3951
757	12326	3935
758	12342	3919
759	12359	3903
760	12375	3886
761	12391	3870
762	12407	3854
763	12423	3837
764	12439	3821
765	12455	3805
766	12471	3788
767	12487	3772
768	12504	3756
769	12520	3740
770	12536	3723
771	12552	3707
772	12567	3690
773	12583	3674
774	12599	3657
775	12615	3641
776	12632	3625
777	12648	3609
778	12665	3593
779	12688	3578
780	12707	3563
781	12724	3547
782	12740	3530
783	12756	3514
784	12772	3498
785	12788	3481
786	12805	3465
787	12821	3449
788	12837	3433
789	12855	3417
790	12872	3401
791	12889	3385
792	12907	3369
793	12925	3353
794	12941	3337
795	12958	3321
796	12975	3304
797	12992	3288
798	13009	3272
799	13026	3256
800	13042	3240
801	13057	3223
802	13074	3207
803	13090	3191
804	13106	3174
805	13124	3158
806	13140	3142
807	13157	3126
808	13173	3110
809	13190	3094
810	13207	3077
811	13224	3061
812	13240	3045
813	13256	3029
814	13272	3012
815	13288	2996
816	13303	2979
817	13318	2963
818	13333	2946
819	13349	2930
820	13364	2913
821	13380	2897
822	13395	2881
823	13412	2864
824	13428	2848
825	13443	2831
826	13462	2816
827	13479	2800
828	13497	2784
829	13516	2768
830	13533	2752
831	13549	2735
832	13565	2719
833	13581	2703
834	13599	2687
835	13615	2671
836	13632	2654
837	13648	2638
838	13664	2622
839	13681	2606
840	13698	2589
841	13715	2573
842	13731	2557
843	13748	2541
844	13764	2524
845	13781	2508
846	13798	2492
847	13815	2476
848	13831	2459
849	13846	2443
850	13861	2426
851	13876	2410
852	13892	2394
853	13907	2377
854	13924	2361
855	13941	2345
856	13956	2328
857	13971	2312
858	13987	2295
859	14004	2279
860	14021	2263
861	14036	2247
862	14053	2230
863	14070	2214
864	14085	2198
865	14101	2182
866	14118	2165
867	14134	2149
868	14150	2133
869	14166	2116
870	14182	2100
871	14198	2084
872	14213	2067
873	14229	2051
874	14244	2034
875	14260	2018
876	14276	2002
877	14291	1985
878	14307	1969
879	14323	1953
880	14340	1937
881	14356	1920
882	14373	1904
883	14389	1888
884	14405	1871
885	14421	1855
886	14438	1839
887	14453	1822
888	14469	1806
889	14485	1790
890	14500	1773
891	14516	1757
892	14531	1741
893	14548	1724
894	14563	1708
895	14578	1692
896	14594	1675
897	14610	1659
898	14626	1643
899	14641	1626
900	14656	1610
901	14673	1594
902	14688	1577
903	14704	1561
904	14719	1545
905	14736	1528
906	14752	1512
907	14768	1496
908	14784	1480
909	14799	1463
910	14816	1447
911	14832	1431
912	14848	1414
913	14864	1398
914	14881	1382
915	14898	1366
916	14914	1349
917	14932	1333
918	14950	1317
919	14966	1301
920	14983	1285
921	15000	1269
922	15019	1252
923	15035	1236
924	15051	1220
925	15067	1204
926	15082	1187
927	15098	1171
928	15114	1155
929	15129	1138
930	15146	1122
931	15162	1106
932	15178	1089
933	15194	1073
934	15209	1057
935	15225	1041
936	15241	1024
937	15257	1008
938	15273	992
939	15288	975
940	15305	959
941	15321	943
942	15337	927
943	15353	910
944	15372	894
945	15388	878
946	15405	862
947	15421	845
948	15439	829
949	15455	813
950	15473	797
951	15489	781
952	15506	764
953	15524	748
954	15540	732
955	15555	715
956	15572	699
957	15588	683
958	15605	667
959	15621	650
960	15637	634
961	15652	618
962	15669	602
963	15685	585
964	15700	569
965	15716	553
966	15733	536
967	15748	520
968	15764	504
969	15780	488
970	15797	471
971	15813	455
972	15829	439
973	15845	422
974	15860	406
975	15876	390
976	15891	374
977	15906	357
978	15921	341
979	15936	325
980	15952	308
981	15968	292
982	15984	276
983	16000	260
984	16016	243
985	16031	227
986	16047	211
987	16062	195
988	16077	178
989	16093	162
990	16108	146
991	16125	130
992	16140	113
993	16164	97
994	16181	81
995	16197	65
996	16213	48
997	16229	32
998	16245	16
999	16262	0
